New claim date,Type,Subgroup,Initial claims
01/09/2005,Initial claims by age,Under 20,96
01/16/2005,Initial claims by age,Under 20,79
01/23/2005,Initial claims by age,Under 20,81
01/30/2005,Initial claims by age,Under 20,93
02/06/2005,Initial claims by age,Under 20,53
02/13/2005,Initial claims by age,Under 20,70
02/20/2005,Initial claims by age,Under 20,72
02/27/2005,Initial claims by age,Under 20,57
03/06/2005,Initial claims by age,Under 20,40
03/13/2005,Initial claims by age,Under 20,48
03/20/2005,Initial claims by age,Under 20,42
03/27/2005,Initial claims by age,Under 20,31
04/03/2005,Initial claims by age,Under 20,85
04/10/2005,Initial claims by age,Under 20,46
04/17/2005,Initial claims by age,Under 20,38
04/24/2005,Initial claims by age,Under 20,49
05/01/2005,Initial claims by age,Under 20,44
05/08/2005,Initial claims by age,Under 20,27
05/15/2005,Initial claims by age,Under 20,49
05/22/2005,Initial claims by age,Under 20,64
05/29/2005,Initial claims by age,Under 20,46
06/05/2005,Initial claims by age,Under 20,60
06/12/2005,Initial claims by age,Under 20,34
06/19/2005,Initial claims by age,Under 20,42
06/26/2005,Initial claims by age,Under 20,48
07/03/2005,Initial claims by age,Under 20,103
07/10/2005,Initial claims by age,Under 20,59
07/17/2005,Initial claims by age,Under 20,59
07/24/2005,Initial claims by age,Under 20,50
07/31/2005,Initial claims by age,Under 20,59
08/07/2005,Initial claims by age,Under 20,41
08/14/2005,Initial claims by age,Under 20,47
08/21/2005,Initial claims by age,Under 20,43
08/28/2005,Initial claims by age,Under 20,44
09/04/2005,Initial claims by age,Under 20,24
09/11/2005,Initial claims by age,Under 20,48
09/18/2005,Initial claims by age,Under 20,43
09/25/2005,Initial claims by age,Under 20,33
10/02/2005,Initial claims by age,Under 20,59
10/09/2005,Initial claims by age,Under 20,52
10/16/2005,Initial claims by age,Under 20,36
10/23/2005,Initial claims by age,Under 20,44
10/30/2005,Initial claims by age,Under 20,60
11/06/2005,Initial claims by age,Under 20,27
11/13/2005,Initial claims by age,Under 20,39
11/20/2005,Initial claims by age,Under 20,56
11/27/2005,Initial claims by age,Under 20,52
12/04/2005,Initial claims by age,Under 20,62
12/11/2005,Initial claims by age,Under 20,70
12/18/2005,Initial claims by age,Under 20,96
12/25/2005,Initial claims by age,Under 20,180
01/08/2006,Initial claims by age,Under 20,213
01/15/2006,Initial claims by age,Under 20,72
01/22/2006,Initial claims by age,Under 20,71
01/29/2006,Initial claims by age,Under 20,75
02/05/2006,Initial claims by age,Under 20,54
02/12/2006,Initial claims by age,Under 20,35
02/19/2006,Initial claims by age,Under 20,67
02/26/2006,Initial claims by age,Under 20,47
03/05/2006,Initial claims by age,Under 20,55
03/12/2006,Initial claims by age,Under 20,38
03/19/2006,Initial claims by age,Under 20,30
03/26/2006,Initial claims by age,Under 20,24
04/02/2006,Initial claims by age,Under 20,71
04/09/2006,Initial claims by age,Under 20,44
04/16/2006,Initial claims by age,Under 20,67
04/23/2006,Initial claims by age,Under 20,61
04/30/2006,Initial claims by age,Under 20,70
05/07/2006,Initial claims by age,Under 20,42
05/14/2006,Initial claims by age,Under 20,39
05/21/2006,Initial claims by age,Under 20,51
05/28/2006,Initial claims by age,Under 20,30
06/04/2006,Initial claims by age,Under 20,46
06/11/2006,Initial claims by age,Under 20,27
06/18/2006,Initial claims by age,Under 20,47
06/25/2006,Initial claims by age,Under 20,42
07/02/2006,Initial claims by age,Under 20,134
07/09/2006,Initial claims by age,Under 20,40
07/16/2006,Initial claims by age,Under 20,58
07/23/2006,Initial claims by age,Under 20,56
07/30/2006,Initial claims by age,Under 20,71
08/06/2006,Initial claims by age,Under 20,52
08/13/2006,Initial claims by age,Under 20,50
08/20/2006,Initial claims by age,Under 20,48
08/27/2006,Initial claims by age,Under 20,49
09/03/2006,Initial claims by age,Under 20,36
09/10/2006,Initial claims by age,Under 20,48
09/17/2006,Initial claims by age,Under 20,42
09/24/2006,Initial claims by age,Under 20,32
10/08/2006,Initial claims by age,Under 20,135
10/15/2006,Initial claims by age,Under 20,54
10/22/2006,Initial claims by age,Under 20,50
10/29/2006,Initial claims by age,Under 20,41
11/05/2006,Initial claims by age,Under 20,43
11/12/2006,Initial claims by age,Under 20,61
11/19/2006,Initial claims by age,Under 20,71
11/26/2006,Initial claims by age,Under 20,59
12/03/2006,Initial claims by age,Under 20,73
12/10/2006,Initial claims by age,Under 20,73
12/17/2006,Initial claims by age,Under 20,76
12/24/2006,Initial claims by age,Under 20,151
12/31/2006,Initial claims by age,Under 20,51
01/07/2007,Initial claims by age,Under 20,175
01/14/2007,Initial claims by age,Under 20,93
01/21/2007,Initial claims by age,Under 20,86
01/28/2007,Initial claims by age,Under 20,105
02/04/2007,Initial claims by age,Under 20,56
02/11/2007,Initial claims by age,Under 20,49
02/18/2007,Initial claims by age,Under 20,70
02/25/2007,Initial claims by age,Under 20,57
03/04/2007,Initial claims by age,Under 20,61
03/11/2007,Initial claims by age,Under 20,41
03/18/2007,Initial claims by age,Under 20,50
03/25/2007,Initial claims by age,Under 20,31
04/08/2007,Initial claims by age,Under 20,124
04/15/2007,Initial claims by age,Under 20,50
04/22/2007,Initial claims by age,Under 20,42
04/29/2007,Initial claims by age,Under 20,36
05/06/2007,Initial claims by age,Under 20,48
05/13/2007,Initial claims by age,Under 20,57
05/20/2007,Initial claims by age,Under 20,46
05/27/2007,Initial claims by age,Under 20,36
06/03/2007,Initial claims by age,Under 20,48
06/10/2007,Initial claims by age,Under 20,39
06/17/2007,Initial claims by age,Under 20,40
06/24/2007,Initial claims by age,Under 20,42
07/08/2007,Initial claims by age,Under 20,177
07/15/2007,Initial claims by age,Under 20,67
07/22/2007,Initial claims by age,Under 20,44
07/29/2007,Initial claims by age,Under 20,59
08/05/2007,Initial claims by age,Under 20,54
08/12/2007,Initial claims by age,Under 20,49
08/19/2007,Initial claims by age,Under 20,51
